,Name,Album,Artist,Link
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,https://youtu.be/Kbyp0QQM__g?si=2DQTVI3sl8jy5eJU
1,Mo Bamba,MUDBOY,Sheck Wes,https://youtu.be/VWoIpDVkOH0?si=vyTZXhvD4jMFrzK-
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://youtu.be/6swmTBVI83k?si=SINf58ei9UMFPKGF
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://youtu.be/7tOqUtSTF2w?si=tsdsiuTHH8CTycxv
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://youtu.be/097v8fqYF7Q?si=PWBn01Se0PoF-t99
5,Rasputin,Rasputin,Majestic,https://youtu.be/cZwYpAh3bXQ?si=f-CgBotPdEDIx-eW
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://youtu.be/MEg-oqI9qmw?si=9Se583cexY0agNwC
7,Whoopty,Whoopty,CJ,https://youtu.be/n8PO3bUGmDo?si=i99aOGo-LL3AGfji
8,Streets,Hot Pink,Doja Cat,https://youtu.be/K0m4SWTGRzs?si=QINSD0D_BgegDEn9
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://youtu.be/XULMZ907ios?si=X3s9JK0rlHTdcoX2
10,Paparazzi,Paparazzi,Kim Dracula,https://youtu.be/QZlvQC3ZUN8?si=x46l3LunSMUwKJyO
11,hot girl bummer,hot girl bummer,blackbear,https://youtu.be/3KnHgNT7Dd4?si=b0iVhTPdbD9OCwRc
12,Runnin Low,Runnin Low,Kieran Alleyne,https://youtu.be/eSCPEitfWmg?si=Nv5l1-4TflUwk_BL
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,https://youtu.be/0bOUOCo6NLQ?si=EqzHHf57ARdbYrlR
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,https://youtu.be/fWb2bypvyhM?si=ZGerMM90hSBPDkWS
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,https://youtu.be/A7JmioB0v-w?si=DQrgTdxxh1z0Wl1_
