,Name,Album,Artist,Link
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://youtu.be/qnFcVpItds4?si=VKSiHGPoB0L7FWAG
1,Jocelyn Flores,17,XXXTENTACION,https://youtu.be/FAucVNRx_mU?si=TW5zeg3N5CRNavPt
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://youtu.be/bCuhuePlP8o?si=mLYumpQS-JB_fvBh
3,how to live,how to live,yaeow,https://youtu.be/h3-HB4bCDZY?si=22AzulX9LpYqgtqY
4,It's You,YOU,Ali Gatie,https://youtu.be/PXGycbkbtW0?si=x7VHhFeD39At9ZR2
5,Loosing Interest,Passion & Confusion,Timmies,https://youtu.be/IVdBIDSq-9Q?si=FuyxCTU8NFLH1eSH
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://youtu.be/gxppkYI3RC4?si=ZyN4c3ULh89B4lxr
7,Dead and Cold,Dead and Cold,ELIJAH MOON,https://youtu.be/p0ehbVmgib8?si=VmWltlFhW80-GE3t
8,Heather,Kid Krow,Conan Gray,https://youtu.be/24u3NoPvgMw?si=iW11lpdUsqu2VaSm
9,Reckless,Reckless,Madison Beer,https://youtu.be/TFHCew8DnC0?si=Cy-RsoursTzln7k1
10,paradise,paradise,cliffe,https://youtu.be/QAUGlM19TE4?si=IKwDxKen8iuAM_B_
11,Me Too,Me Too,April Jai,https://youtu.be/bHlVDHV4GvQ?si=kuI6gRQ918KOdLl2
12,Six Feet Under,Six Feet Under,Billie Eilish,https://youtu.be/FQ0iq10ULNA?si=ebAEfPnq3vgsUk-g
13,Circles,Hollywood's Bleeding,Post Malone,https://youtu.be/w5GrxfjuTTI?si=WNEQe5FHZdYvCVXJ
14,All Alone,All Alone,Sølace,https://youtu.be/USzUSiHuvkU?si=FsInXYKh8B4pysKk
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,https://youtu.be/20harOfAWxw?si=99OgYt4ORk-3kMf7
