,Name,Album,Artist,Link
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://youtu.be/S19UcWdOA-I?si=T_I4B1Y7JF4-ehor
1,Fearless,Fearless,Lost Sky,https://youtu.be/v8JbaHScYzU?si=JOkiB7tmaI2ce0SE
2,Ark,Ark,Star Party,https://youtu.be/IVSDjqQnnuY?si=f4SrqnrGngCWMsAd
3,Supersonic,Supersonic,Rob Gasser,https://youtu.be/TdEo002K2GQ?si=lR72ViNG0i7JAqGi
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://youtu.be/S19UcWdOA-I?si=AgGa9tyNKgaxUTz6
5,Mortals,Mortals,Warriyo,https://youtu.be/zFXl1sjTdms?si=a9vDQ2xQi2FKr_fF
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://youtu.be/cuN82OBSD9s?si=oASS8-Cmeo7M67K0
7,Fearless,Fearless,Lost Sky,https://youtu.be/v8JbaHScYzU?si=JOkiB7tmaI2ce0SE
8,Ark,Ark,Star Party,https://youtu.be/IVSDjqQnnuY?si=f4SrqnrGngCWMsAd
9,Ark,Ark,Star Party,https://youtu.be/IVSDjqQnnuY?si=f4SrqnrGngCWMsAd
10,Mortals,Mortals,Warriyo,https://youtu.be/zFXl1sjTdms?si=a9vDQ2xQi2FKr_fF
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://youtu.be/cuN82OBSD9s?si=oASS8-Cmeo7M67K0
12,Supersonic,Supersonic,Rob Gasser,https://youtu.be/TdEo002K2GQ?si=yXQdOhwtXp9KtGpV
13,Feel Good,Feel Good,Syn Cole,https://youtu.be/q1ULJ92aldE?si=6xPqrkaPzgxa-7yF
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://youtu.be/S19UcWdOA-I?si=AgGa9tyNKgaxUTz6
15,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://youtu.be/cuN82OBSD9s?si=oASS8-Cmeo7M67K0
