,Name,Album,Artist,Link
0,Leave The Door Open,Leave The Door Open,Bruno Mars,https://youtu.be/adLGHcj_fmA?feature=shared
1,Dynamite,Dynamite (DayTime Version),BTS,https://youtu.be/gdZLi9oWNZg?feature=shared
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://youtu.be/TUVcZfQe-Kw?feature=shared
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://youtu.be/0EVVKs6DQLo?feature=shared
4,Perfect,÷ (Deluxe),Ed Sheeran,https://youtu.be/2Vv-BfVoq4g?feature=shared
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,https://youtu.be/vMLk_T0PPbk?feature=shared
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,https://youtu.be/wuGt8wanfhE?feature=shared
7,Dance Monkey,Dance Monkey,Tones And I,https://youtu.be/q0hyYWKXF0Q?feature=shared
8,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,https://youtu.be/OPf0YbXqDm0?feature=shared
9,Sugar,V (Deluxe),Maroon 5,https://youtu.be/09R8_2nJtjg?feature=shared
10,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,https://youtu.be/aJOTlE1K90k?feature=shared
11,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,https://youtu.be/vRXZj0DzXIA?feature=shared
12,Useless,Useless,Two Friends,https://youtu.be/6wsFzDaS_Cs?feature=shared
13,Roar,PRISM (Deluxe),Katy Perry,https://youtu.be/u6SCapCfU9E?feature=shared
14,The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,https://youtu.be/fLexgOxsZu0?feature=shared
15,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,https://youtu.be/lp-EO5I60KA?feature=shared
