,Name,Album,Artist,Link
0,Heathens,Heathens,Twenty One Pilots,https://youtu.be/UprcpdwuwCg?feature=shared
1,Attention,Voicenotes,Charlie Puth,https://youtu.be/nfs8NYg7yQM?feature=shared
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,https://youtu.be/dT2owtxkU8k?feature=shared
3,Believer,Evolve,Imagine Dragons,https://youtu.be/sk3WStkwswE?feature=shared
4,Galway Girl,÷ (Deluxe),Ed Sheeran,https://youtu.be/XjHr-6Zl5P8?feature=shared
5,Faded,Different World,Alan Walker,https://youtu.be/n03IDJcsy5g?feature=shared
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,https://youtu.be/aatr_2MstrI?feature=shared
7,Fight Song,Wildfire,Rachel Platten,https://youtu.be/xo1VInw-SKc?feature=shared
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,https://youtu.be/papuvlVeZg8?feature=shared
9,Shape of You,÷ (Deluxe),Ed Sheeran,https://youtu.be/JGwWNGJdvx8?feature=shared
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,https://youtu.be/FM7MFYoylVs?feature=shared
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,https://youtu.be/lY2yjAdbvdQ?feature=shared
12,Thunder,Evolve,Imagine Dragons,https://youtu.be/fKopy74weus?feature=shared
13,Havana (feat. Young Thug),Camila,Camila Cabello,https://youtu.be/BQ0mxQXmLsk?feature=shared
14,Let Me Love You,Encore,DJ Snake,https://youtu.be/euCqAq6BRa4?feature=shared
15,Mama,Blue,Jonas Blue,https://youtu.be/qPTfXwPf_HM?feature=shared
