,Name,Album,Artist,Link
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://youtu.be/qnFcVpItds4?feature=shared
1,Jocelyn Flores,17,XXXTENTACION,https://youtu.be/FAucVNRx_mU?feature=shared
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://youtu.be/bCuhuePlP8o?feature=shared
3,how to live,how to live,yaeow,https://youtu.be/h3-HB4bCDZY?feature=shared
4,It's You,YOU,Ali Gatie,https://youtu.be/PXGycbkbtW0?feature=shared
5,Loosing Interest,Passion & Confusion,Timmies,https://youtu.be/IVdBIDSq-9Q?feature=shared
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://youtu.be/gxppkYI3RC4?feature=shared
7,Dead and Cold,Dead and Cold,ELIJAH MOON,https://youtu.be/p0ehbVmgib8?feature=shared
8,Heather,Kid Krow,Conan Gray,https://youtu.be/24u3NoPvgMw?feature=shared
9,Reckless,Reckless,Madison Beer,https://youtu.be/TFHCew8DnC0?feature=shared
10,paradise,paradise,cliffe,https://youtu.be/1G4isv_Fylg?feature=shared
11,Me Too,Me Too,April Jai,https://youtu.be/bHlVDHV4GvQ?feature=shared
12,Six Feet Under,Six Feet Under,Billie Eilish,https://youtu.be/FQ0iq10ULNA?feature=shared
13,Circles,Hollywood's Bleeding,Post Malone,https://youtu.be/w5GrxfjuTTI?feature=shared
14,All Alone,All Alone,Sølace,https://youtu.be/USzUSiHuvkU?feature=shared
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,https://youtu.be/20harOfAWxw?feature=shared
