,Name,Album,Artist,Link
0,good 4 u,SOUR,Olivia Rodrigo,https://www.youtube.com/watch?v=gNi_6U5Pm_o
1,Todo De Ti,Todo De Ti,Rauw Alejandro,https://youtu.be/CFPLIaMpGrY?feature=shared
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://www.youtube.com/watch?v=6swmTBVI83k
3,Yonaguni,Yonaguni,Bad Bunny,https://www.youtube.com/watch?v=doLMt10ytHY
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://www.youtube.com/watch?v=0EVVKs6DQLo
5,Beggin',Chosen,Måneskin,https://youtu.be/Xg72z08aTXY?feature=shared
6,deja vu,SOUR,Olivia Rodrigo,https://www.youtube.com/watch?v=cii6ruuycQA
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,https://www.youtube.com/watch?v=WMweEpGlu_U
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://www.youtube.com/watch?v=TUVcZfQe-Kw
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,https://www.youtube.com/watch?v=tQ0yjYUFKAE
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,https://youtu.be/yOb9Xaug35M?feature=shared
11,traitor,SOUR,Olivia Rodrigo,https://youtu.be/LYeIr2bBdUA?feature=shared
12,Qué Más Pues?,Qué Más Pues?,J Balvin,https://youtu.be/zisuhZqTeH4?feature=shared
13,happier,SOUR,Olivia Rodrigo,https://youtu.be/8kX6LwuhKLs?feature=shared
14,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,https://www.youtube.com/watch?v=LIIDh-qI9oI
15,drivers license,SOUR,Olivia Rodrigo,https://www.youtube.com/watch?v=ZmDBbnmKpqQ

